version
202
timestamp,L_value1,L_value2,L_value3,L_value4,R_value1,R_value2,R_value3,R_value4,COP_Left,COP_Right,COP_Front,COP_Back,COP_Left_Front,COP_Left_Back,COP_Right_Front,COP_Right_Back,L_ACC_X,L_ACC_Y,L_ACC_Z,R_ACC_X,R_ACC_Y,R_ACC_Z,L_value1_raw,L_value2_raw,L_value3_raw,L_value4_raw,R_value1_raw,R_value2_raw,R_value3_raw,R_value4_raw
2236.0,0,0,0,19,0,0,0,0,100,0,0,100,0,100,50,50,0,9,0,0,22,0,0,0,0,217,0,0,0,0
2266.0,0,0,0,19,0,0,0,0,100,0,0,100,0,100,50,50,0,9,0,0,23,0,0,0,0,217,0,0,0,0
2296.0,0,0,0,19,0,0,0,0,100,0,0,100,0,100,50,50,0,9,0,0,23,0,0,0,0,217,0,0,0,0
2326.0,0,0,0,19,0,0,0,0,100,0,0,100,0,100,50,50,0,9,0,0,23,0,0,0,0,217,0,0,0,0
2356.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,25,61,0,0,39,0,0,1,0,13,0,0,0,7
2386.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,25,61,0,0,44,0,0,1,0,13,1,0,0,11
2416.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,5,0,0,122,0,0,0,0,6,0,0,0,23
2446.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,24,0,0,122,0,1,0,1,5,0,0,0,23
2475.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,0,0,0,132,0,0,0,0,6,0,0,0,52
2505.0,0,0,0,0,0,0,0,17,0,100,0,100,50,50,0,100,0,0,0,0,49,0,0,0,0,5,0,0,0,211
2536.0,0,0,0,0,0,0,0,48,0,100,0,100,50,50,0,100,0,8,0,0,33,0,0,0,0,4,0,0,0,366
2566.0,0,0,0,0,0,0,0,66,0,100,0,100,50,50,0,100,0,8,0,0,77,0,0,0,0,4,0,0,0,458
2596.0,0,0,0,0,0,0,0,66,0,100,0,100,50,50,0,100,0,8,0,0,77,0,0,0,0,4,0,0,0,458
2625.0,0,0,0,0,0,0,0,90,0,100,0,100,50,50,0,100,0,8,0,0,69,0,0,0,0,4,0,0,0,582
2655.0,0,0,0,0,0,0,0,100,0,100,0,100,50,50,0,100,0,0,0,0,124,0,0,1,0,3,0,0,0,656
2686.0,0,0,0,0,0,0,0,100,0,100,0,100,50,50,0,100,0,0,0,0,124,0,0,0,1,2,0,0,0,653
2716.0,0,0,0,0,0,0,0,100,0,100,0,100,50,50,0,100,0,0,0,21,103,0,0,0,1,2,0,0,0,682
2746.0,0,0,0,0,0,0,0,100,0,100,0,100,50,50,0,100,0,0,0,21,103,0,0,0,2,0,0,0,0,682
2776.0,0,0,0,0,0,0,0,100,0,100,0,100,50,50,0,100,0,0,0,76,0,0,0,0,0,0,0,0,0,663
2806.0,0,0,0,0,0,0,0,100,0,100,0,100,50,50,0,100,0,0,0,318,0,0,1,0,0,0,0,0,0,637
2836.0,0,0,0,0,0,0,0,100,0,100,0,100,50,50,0,100,0,0,0,318,0,0,0,0,0,0,0,0,0,637
2865.0,0,0,0,0,0,0,0,62,0,100,0,100,50,50,0,100,0,0,0,77,0,0,0,0,0,0,0,0,0,440
2896.0,0,0,0,0,0,0,0,45,0,100,0,100,50,50,0,100,0,0,0,111,0,0,0,0,0,0,0,0,0,353
2925.0,0,0,0,0,0,0,0,45,0,100,0,100,50,50,0,100,0,0,0,111,0,0,0,0,0,0,0,0,0,353
2956.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,0,0,0,64,0,0,0,0,0,0,0,0,70
2985.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,0,0,0,36,0,0,0,0,0,0,0,0,56
3015.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,0,0,18,18,0,0,0,0,0,1,0,0,21
3046.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,0,0,18,18,0,0,0,0,0,1,0,0,21
3076.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,0,0,18,18,0,1,0,0,13,1,0,0,21
3106.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,0,0,0,0,0,1,0,0,13,0,2,1,0
