version
10
timestamp,L_value1,L_value2,L_value3,L_value4,R_value1,R_value2,R_value3,R_value4,COP_Left,COP_Right,COP_Front,COP_Back,COP_Left_Front,COP_Left_Back,COP_Right_Front,COP_Right_Back,L_ACC_X,L_ACC_Y,L_ACC_Z,R_ACC_X,R_ACC_Y,R_ACC_Z,L_value1_raw,L_value2_raw,L_value3_raw,L_value4_raw,R_value1_raw,R_value2_raw,R_value3_raw,R_value4_raw
3167,0,0,15,0,4,0,23,75,13,87,32,68,100,0,23,77,0,0,0,0,0,0,89.0,0.0,219.0,57.0,151.0,80.0,268.0,465.0
3200,0,0,4,0,8,0,31,78,3,97,32,68,100,0,29,71,0,0,0,0,0,0,80.0,0.0,148.0,32.0,174.0,93.0,316.0,480.0
3233,0,0,0,0,11,0,36,77,0,100,33,67,50,50,33,67,0,0,0,0,0,0,69.0,0.0,103.0,12.0,189.0,101.0,349.0,479.0
3266,0,0,0,0,14,0,40,77,0,100,37,63,50,50,37,63,0,0,0,0,0,0,59.0,0.0,90.0,7.0,210.0,112.0,374.0,477.0
3299,0,0,0,0,16,0,43,76,0,100,39,61,50,50,39,61,0,0,0,0,0,0,55.0,0.0,80.0,2.0,221.0,117.0,393.0,472.0
3332,0,0,0,0,18,0,46,75,0,100,41,59,50,50,41,59,0,0,0,0,0,0,50.0,0.0,75.0,0.0,233.0,125.0,409.0,467.0
3365,0,0,0,0,19,1,48,74,0,100,43,57,50,50,43,57,0,0,0,0,0,0,48.0,0.0,69.0,0.0,239.0,130.0,424.0,461.0
3398,0,0,0,0,19,1,49,73,0,100,44,56,50,50,44,56,0,0,0,0,0,0,47.0,0.0,65.0,0.0,241.0,128.0,429.0,455.0
3431,0,0,0,0,20,1,50,73,0,100,44,56,50,50,44,56,0,0,0,0,0,0,46.0,0.0,61.0,0.0,245.0,132.0,434.0,457.0
3464,0,0,0,0,19,1,50,74,0,100,44,56,50,50,43,57,0,0,0,0,0,0,43.0,0.0,56.0,0.0,241.0,130.0,437.0,462.0
3497,0,0,0,0,19,1,51,76,0,100,44,56,50,50,43,57,0,0,0,0,0,0,39.0,0.0,52.0,0.0,241.0,131.0,444.0,470.0
